ID,Year,Name
15860.0,2014.0,Kadenz fermata//Akkord:fortissimo
15859.0,2013.0,Storm Lover 2nd
15849.0,2015.0,Psychedelica of the Black Butterfly
15847.0,2013.0,White Album 2: Shiawase no Mukougawa
15842.0,2014.0,Dream C Club: GoGo
15832.0,2014.0,Phoenix Wright: Ace Attorney Trilogy
15825.0,2012.0,Ore wa Shoujo Mangaka
15813.0,2012.0,Custom Drive
15796.0,2015.0,Kaleidoeve
15783.0,2015.0,Reine des Fleurs
15774.0,2015.0,Root Infinity Rexx
15772.0,2015.0,Clock Zero: Shuuen no Ichibyou - ExTime
15757.0,2012.0,L.G.S: Shinsetsu Houshinengi
15743.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4
15735.0,2012.0,Elkrone no Atelier: Dear for Otomate
15724.0,2013.0,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar"
15714.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3
15712.0,2013.0,Ultraman Star Chronicles
15694.0,2015.0,Prince of Stride
15692.0,2014.0,Robotics;Notes
15679.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2
15667.0,2014.0,Rabbids Invasion: The Interactive TV Show
15646.0,2012.0,Seinaru Kana: Orichalcum no Na no Motoni
15644.0,2014.0,Grisaia no Rakuen: Le Eden de la Grisaia
15637.0,2012.0,Kimikare: New Semester
15621.0,2013.0,Ben 10 Omniverse 2
15618.0,2012.0,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana
15593.0,2013.0,Starry ? Sky: After Summer
15584.0,2015.0,Niko Puchi Girls Runway
15580.0,2014.0,Bakumatsu Rock: Ultra Soul
15577.0,2015.0,7 Roses: A Darkness Rises
15573.0,2015.0,New Atelier Rorona: Hajimari no Monogatari
15572.0,2012.0,Entaku no Seito: The Eternal Legend
15564.0,2015.0,Lovely x Cation 1 & 2
15563.0,2015.0,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special
15560.0,2015.0,Amatsumi Sora ni! Kumo no Hatate ni
15558.0,2012.0,Gon: BakuBakuBakuBaku Adventure
15557.0,2015.0,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi
15546.0,2012.0,Poyo Poyo Kansatsu Nikki
15542.0,2015.0,The Talos Principle
15520.0,2013.0,X-Plane 10 Global
15515.0,2012.0,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira
15512.0,2012.0,Mushihimesama
15509.0,2013.0,Meiji Toukyou Renka
15501.0,2012.0,Azada
15498.0,2015.0,Spirits and Demons: 5 Game Pack
15496.0,2015.0,Otoko Yukaku
15493.0,2015.0,Devil Survivor: Over Clock
15491.0,2015.0,Dynasty Warriors 8: Empires
15480.0,2013.0,Heroes VS
15477.0,2015.0,Natsuiro High School: Seishun Hakusho
15475.0,2015.0,Date-A-Live Twin Edition: Rio Reincarnation
15472.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5
15455.0,2012.0,Mount & Blade Collection
15453.0,2014.0,Winx Club: Saving Alfea
15452.0,2015.0,Angelique Retour
15449.0,2015.0,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version
15448.0,2013.0,Battle Princess of Arcadias
15445.0,2015.0,Legend of Kay Anniversary
15443.0,2015.0,Downtown Nekketsu Jidaigek
15438.0,2012.0,Dark Tales: Edgar Allan Poe's The Premature Burial
15435.0,2014.0,Tenkai Knights: Brave Battle
15434.0,2012.0,Kokoro Connect: Yochi Random
15427.0,2015.0,Net High
15425.0,2014.0,CV Casting Voice
15424.0,2013.0,Ro-Kyu-Bu! Lost Secret
15416.0,2014.0,Gakuen K: Wonderful School Days
15409.0,2013.0,Fist of the North Star: Ken's Rage 2
15408.0,2013.0,Vitamin R
15401.0,2013.0,The Legend of Heroes: Trails in the Sky Second Chapter
15400.0,2012.0,Arcana Famiglia: Vascello Phantasma no Majutsushi
15396.0,2014.0,Invizimals: The Resistance
