id_number,publisher_name,genre,global_sales
15480,Namco Bandai Games,Fighting,0.02
15477,D3Publisher,Action,0.04
15475,Compile Heart,Action,0.02
15472,Namco Bandai Games,Action,0.02
15455,Paradox Interactive,Role-Playing,0.02
15453,Namco Bandai Games,Action,0.03
15452,Tecmo Koei,Action,0.02
15449,Tecmo Koei,Strategy,0.02
15448,Nippon Ichi Software,Role-Playing,0.02
15445,Nordic Games,Action,0.03
15443,Arc System Works,Action,0.02
15438,Focus Multimedia,Puzzle,0.02
15435,Namco Bandai Games,Action,0.02
15434,Namco Bandai Games,Action,0.02
15427,Marvelous Games,Adventure,0.02
15425,Namco Bandai Games,Adventure,0.02
15424,Kadokawa Shoten,Adventure,0.02
15416,Idea Factory,Adventure,0.02
15409,Tecmo Koei,Fighting,0.38
15408,D3Publisher,Adventure,0.02
15401,Falcom Corporation,Role-Playing,0.08
15400,Comfort,Action,0.02
15396,Sony Computer Entertainment,Role-Playing,0.02
15393,Starfish,Role-Playing,0.02
15387,Namco Bandai Games,Misc,0.02
15386,Sega,Action,0.02
15374,Avanquest Software,Action,0.02
15361,Big Ben Interactive,Adventure,0.02
15360,Alchemist,Adventure,0.02
15355,Idea Factory,Action,0.02
15352,Iceberg Interactive,Strategy,0.02
15350,Namco Bandai Games,Action,0.02
15345,Namco Bandai Games,Adventure,0.02
15343,Idea Factory,Adventure,0.02
15335,Alchemist,Shooter,0.02
15334,Nippon Ichi Software,Role-Playing,0.02
15313,Capcom,Role-Playing,0.02
15308,Alternative Software,Action,0.02
15297,Arc System Works,Action,0.02
15272,505 Games,Shooter,1.85
15269,Idea Factory,Adventure,0.02
15267,Minato Station,Action,0.02
15256,Warner Bros. Interactive Entertainment,Misc,0.02
15255,Compile Heart,Adventure,0.02
15241,Namco Bandai Games,Action,0.02
15238,Views,Action,0.02
15230,FuRyu,Role-Playing,0.04
15228,Idea Factory,Adventure,0.05
15226,Idea Factory,Adventure,0.02
15219,Idea Factory,Action,0.02
15196,Kadokawa Games,Simulation,0.02
15172,Nippon Ichi Software,Role-Playing,0.02
15160,Unknown,Action,0.02
15144,Sony Computer Entertainment,Action,0.02
15143,Sega,Misc,0.02
15132,Idea Factory,Adventure,0.02
15127,FuRyu,Action,0.02
15107,Disney Interactive Studios,Action,0.04
15103,Tecmo Koei,Misc,0.02
15084,Deep Silver,Misc,0.02
15081,FuRyu,Adventure,0.02
15074,Avanquest Software,Action,0.02
15059,N/A,Platform,0.02
15054,Licensed 4U,Action,0.02
15050,Kadokawa Shoten,Strategy,0.04
15043,Tecmo Koei,Action,0.04
15033,Idea Factory,Adventure,0.02
15004,Namco Bandai Games,Action,0.02
14996,Kalypso Media,Strategy,0.02
14988,Idea Factory,Action,0.02
14981,Sega,Fighting,0.04
14980,Namco Bandai Games,Adventure,0.02
14975,Namco Bandai Games,Action,0.02
14974,Compile Heart,Role-Playing,0.02
14955,5pb,Action,0.02
14951,Idea Factory,Action,0.02
14940,Namco Bandai Games,Action,0.02
14927,5pb,Adventure,0.02
14914,Idea Factory,Adventure,0.02
14892,Paon Corporation,Misc,0.03
14885,Namco Bandai Games,Misc,0.03
14884,Idea Factory,Adventure,0.03
14880,Kadokawa Games,Adventure,0.03
14879,City Interactive,Simulation,0.03
14864,Capcom,Action,0.03
14862,Idea Factory,Role-Playing,0.03
14860,Prototype,Action,0.12
14849,Nippon Ichi Software,Adventure,0.03
14833,Marvelous Entertainment,Misc,0.03
14831,Alchemist,Misc,0.03
14821,Little Orbit,Action,0.05
14819,Activision,Strategy,0.03
14816,TGL,Adventure,0.03
14813,FuRyu,Simulation,0.03
14806,Compile Heart,Adventure,0.03
14795,Idea Factory,Adventure,0.03
14773,Idea Factory,Action,0.03
14769,Arc System Works,Fighting,0.03
14760,FuRyu Corporation,Action,0.03
14757,Arc System Works,Adventure,0.05
14751,Namco Bandai Games,Action,0.03
14749,Namco Bandai Games,Action,0.03
14745,Licensed 4U,Action,0.07
14729,Easy Interactive,Puzzle,0.03
14702,Rocket Company,Action,0.03
14697,CyberFront,Role-Playing,0.03
14690,Tecmo Koei,Action,0.72
14688,Tecmo Koei,Action,0.05
14684,Avanquest Software,Action,0.03
14681,Namco Bandai Games,Action,0.03
14678,Ackkstudios,Role-Playing,0.03
14661,Broccoli,Adventure,0.03
14650,TGL,Adventure,0.03
14649,Daedalic Entertainment,Adventure,0.03
14634,Rondomedia,Adventure,0.03
14628,Tecmo Koei,Strategy,0.28
14619,5pb,Role-Playing,0.03
14618,Konami Digital Entertainment,Adventure,0.03
14609,BushiRoad,Adventure,0.03
14604,dramatic create,Adventure,0.03
14591,Asgard,Misc,0.03
14585,Namco Bandai Games,Misc,0.03
14584,Kaga Create,Action,0.04
14579,Unknown,Puzzle,0.03
14570,Quinrose,Action,0.03
14562,Compile Heart,Role-Playing,0.03
14557,Rising Star Games,Action,0.03
14552,Sega,Action,0.03
14548,Little Orbit,Action,0.07
14530,5pb,Simulation,0.03
14511,Namco Bandai Games,Misc,0.03
14486,Activision,Shooter,0.08
14484,Namco Bandai Games,Action,0.03
14482,Activision,Action,0.09
14480,Intergrow,Platform,0.03
14473,Nippon Ichi Software,Adventure,0.03
14470,Extreme Entertainment Group,Role-Playing,0.03
14464,TGL,Adventure,0.03
14458,ChunSoft,Adventure,0.06
14444,Idea Factory,Action,0.03
14441,Idea Factory,Action,0.03
14440,Kadokawa Games,Action,0.03
14435,dramatic create,Adventure,0.03
14428,Alchemist,Adventure,0.03
14406,Capcom,Fighting,0.03
14405,Rising Star Games,Adventure,0.03
14397,Cygames,Platform,0.03
14395,5pb,Adventure,0.06
14385,Idea Factory,Action,0.03
14382,Rocket Company,Role-Playing,0.03
14378,Namco Bandai Games,Sports,0.03
14376,Idea Factory,Adventure,0.03
14370,Namco Bandai Games,Adventure,0.03
14362,Namco Bandai Games,Action,0.03
14361,PQube,Action,0.03
14353,Kaga Create,Action,0.03
14351,Rising Star Games,Role-Playing,0.03
14343,FuRyu,Role-Playing,0.04
14333,Headup Games,Adventure,0.03
14328,D3Publisher,Adventure,0.03
14319,Namco Bandai Games,Action,0.03
14314,N/A,Action,0.03
14312,Reef Entertainment,Adventure,0.1
14300,Namco Bandai Games,Adventure,0.06
14294,Rocket Company,Role-Playing,0.03
14282,Office Create,Simulation,0.03
14279,Namco Bandai Games,Action,0.03
14277,Big Fish Games,Action,0.03
14276,Unknown,Role-Playing,0.03
14271,Level 5,Misc,0.03
14262,imageepoch Inc.,Role-Playing,0.03
14261,Namco Bandai Games,Simulation,0.03
14252,Unknown,Action,0.03
14251,Namco Bandai Games,Action,0.03
14247,Tru Blu Entertainment,Action,0.09
14230,Namco Bandai Games,Fighting,0.06
14228,Agatsuma Entertainment,Platform,0.03
14215,Sega,Action,0.03
14210,Namco Bandai Games,Action,0.03
14193,Tecmo Koei,Strategy,0.03
14177,Idea Factory,Action,0.03
14173,Nippon Ichi Software,Role-Playing,0.03
14170,Maximum Family Games,Action,0.03
14158,Unknown,Action,0.5
14156,Nippon Ichi Software,Action,0.03
14147,Kadokawa Games,Role-Playing,0.03
14145,Fields,Misc,0.03
14144,Focus Home Interactive,Sports,0.05
14128,Namco Bandai Games,Action,0.03
14126,Office Create,Simulation,0.03
14117,Namco Bandai Games,Misc,0.03
14110,Shogakukan,Misc,0.03
14108,D3Publisher,Action,0.06
14103,D3Publisher,Sports,0.13
14097,Ubisoft,Role-Playing,0.04
14093,Prototype,Adventure,0.05
14085,Ubisoft,Action,0.04
14055,Tecmo Koei,Strategy,0.04
14029,Capcom,Action,0.04
14026,Namco Bandai Games,Role-Playing,0.04
13992,Daedalic Entertainment,Adventure,0.04
13990,Nippon Ichi Software,Role-Playing,0.04
13979,Namco Bandai Games,Role-Playing,0.07
13978,Idea Factory,Adventure,0.04
13976,Idea Factory,Action,0.04
13957,GungHo,Role-Playing,0.46
13938,Namco Bandai Games,Misc,0.04
13933,5pb,Adventure,0.09
13932,Unknown,Simulation,0.04
13924,Namco Bandai Games,Action,0.04
13922,Namco Bandai Games,Action,0.04
13918,Take-Two Interactive,Strategy,0.04
13917,Ubisoft,Misc,0.04
13903,Namco Bandai Games,Action,0.04
13889,Nintendo,Action,0.04
13869,Koch Media,Puzzle,0.04
13866,Experience Inc.,Role-Playing,0.04
13862,Namco Bandai Games,Action,0.04
13856,Idea Factory International,Role-Playing,0.04
13840,FuRyu,Action,0.04
13838,Electronic Arts,Simulation,0.04
13822,Unknown,Adventure,0.1
13792,Compile Heart,Adventure,0.04
13773,Happinet,Adventure,0.04
13762,Sega,Sports,0.04
13761,Sony Computer Entertainment,Action,0.04
13759,Unknown,Racing,0.09
13748,Ackkstudios,Action,0.04
13733,Take-Two Interactive,Sports,0.04
