id_number,year_release,game_name
15679,2015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2
15667,2014,Rabbids Invasion: The Interactive TV Show
15646,2012,Seinaru Kana: Orichalcum no Na no Motoni
15644,2014,Grisaia no Rakuen: Le Eden de la Grisaia
15637,2012,Kimikare: New Semester
15621,2013,Ben 10 Omniverse 2
15618,2012,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana
15593,2013,Starry ? Sky: After Summer
15584,2015,Niko Puchi Girls Runway
15580,2014,Bakumatsu Rock: Ultra Soul
15577,2015,7 Roses: A Darkness Rises
15573,2015,New Atelier Rorona: Hajimari no Monogatari
15572,2012,Entaku no Seito: The Eternal Legend
15564,2015,Lovely x Cation 1 & 2
15563,2015,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special
15560,2015,Amatsumi Sora ni! Kumo no Hatate ni
15558,2012,Gon: BakuBakuBakuBaku Adventure
15557,2015,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi
15546,2012,Poyo Poyo Kansatsu Nikki
15542,2015,The Talos Principle
15520,2013,X-Plane 10 Global
15515,2012,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira
15512,2012,Mushihimesama
15509,2013,Meiji Toukyou Renka
15501,2012,Azada
15498,2015,Spirits and Demons: 5 Game Pack
15496,2015,Otoko Yukaku
15493,2015,Devil Survivor: Over Clock
15491,2015,Dynasty Warriors 8: Empires
15480,2013,Heroes VS
15477,2015,Natsuiro High School: Seishun Hakusho
15475,2015,Date-A-Live Twin Edition: Rio Reincarnation
15472,2015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5
15455,2012,Mount & Blade Collection
15453,2014,Winx Club: Saving Alfea
15452,2015,Angelique Retour
15449,2015,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version
15448,2013,Battle Princess of Arcadias
15445,2015,Legend of Kay Anniversary
15443,2015,Downtown Nekketsu Jidaigek
15438,2012,Dark Tales: Edgar Allan Poe's The Premature Burial
15435,2014,Tenkai Knights: Brave Battle
15434,2012,Kokoro Connect: Yochi Random
15427,2015,Net High
15425,2014,CV Casting Voice
15424,2013,Ro-Kyu-Bu! Lost Secret
15416,2014,Gakuen K: Wonderful School Days
15409,2013,Fist of the North Star: Ken's Rage 2
15408,2013,Vitamin R
15401,2013,The Legend of Heroes: Trails in the Sky Second Chapter
15400,2012,Arcana Famiglia: Vascello Phantasma no Majutsushi
15396,2014,Invizimals: The Resistance
15393,2012,Elminage Gothic: Ulm Zakir to Yami no Gishiki
15387,2015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7
15386,2012,Samurai & Dragons
15374,2012,Jewel Link: Galactic Quest
15361,2013,Bella Sara 2 - The Magic of Drasilmare
15360,2013,Saki: Achiga-Hen Portable
15355,2015,Hakuoki: Shinkai - Furi no Shou
15352,2012,Oil Rush
15350,2012,The Idolmaster: Gravure For You! Vol.8
15345,2012,Rinne no Lagrange: Kamogawa Days
15343,2013,Toki no Kizuna: Hanayui Tsuzuri
15335,2012,Gal Gun
15334,2014,The Awakened Fate Ultimatum
15313,2013,Dungeons & Dragons: Shadow over Mystara
15308,2015,Rugby League Team Manager 2015
15297,2012,Detective Jinguuji Saburo: Ronde Revenge
15272,2013,Sniper Elite V2
15269,2013,Shiratsuyu no Kai
15267,2012,Shinken de Watashi ni Koi Shinasai! R
15256,2014,Canimal Triple
15255,2014,Date A Live: Arusu Install
15241,2012,The Idolmaster: Gravure For You! Vol.9
15238,2012,Dies Irae: Amantes Amentes
