ID,Publisher,Genre,Global_Sales
15572.0,Kadokawa Games,Role-Playing,0.02
15564.0,5pb,Action,0.02
15563.0,Arc System Works,Action,0.02
15560.0,Prototype,Adventure,0.02
15558.0,Namco Bandai Games,Action,0.02
15557.0,dramatic create,Adventure,0.02
15546.0,IE Institute,Action,0.02
15542.0,Devolver Digital,Puzzle,0.02
15520.0,Aerosoft,Simulation,0.02
15515.0,Idea Factory,Action,0.02
15512.0,Cave,Action,0.02
15509.0,Broccoli,Adventure,0.02
15501.0,Licensed 4U,Puzzle,0.02
15498.0,Focus Multimedia,Misc,0.02
15496.0,D3Publisher,Action,0.02
15493.0,Atlus,Strategy,0.02
15491.0,Tecmo Koei,Action,0.36
15480.0,Namco Bandai Games,Fighting,0.02
15477.0,D3Publisher,Action,0.04
15475.0,Compile Heart,Action,0.02
15472.0,Namco Bandai Games,Action,0.02
15455.0,Paradox Interactive,Role-Playing,0.02
15453.0,Namco Bandai Games,Action,0.03
15452.0,Tecmo Koei,Action,0.02
15449.0,Tecmo Koei,Strategy,0.02
15448.0,Nippon Ichi Software,Role-Playing,0.02
15445.0,Nordic Games,Action,0.03
15443.0,Arc System Works,Action,0.02
15438.0,Focus Multimedia,Puzzle,0.02
15435.0,Namco Bandai Games,Action,0.02
15434.0,Namco Bandai Games,Action,0.02
15427.0,Marvelous Games,Adventure,0.02
15425.0,Namco Bandai Games,Adventure,0.02
15424.0,Kadokawa Shoten,Adventure,0.02
15416.0,Idea Factory,Adventure,0.02
15409.0,Tecmo Koei,Fighting,0.38
15408.0,D3Publisher,Adventure,0.02
15401.0,Falcom Corporation,Role-Playing,0.08
15400.0,Comfort,Action,0.02
15396.0,Sony Computer Entertainment,Role-Playing,0.02
15393.0,Starfish,Role-Playing,0.02
15387.0,Namco Bandai Games,Misc,0.02
15386.0,Sega,Action,0.02
15374.0,Avanquest Software,Action,0.02
15361.0,Big Ben Interactive,Adventure,0.02
15360.0,Alchemist,Adventure,0.02
15355.0,Idea Factory,Action,0.02
15352.0,Iceberg Interactive,Strategy,0.02
15350.0,Namco Bandai Games,Action,0.02
15345.0,Namco Bandai Games,Adventure,0.02
15343.0,Idea Factory,Adventure,0.02
15335.0,Alchemist,Shooter,0.02
15334.0,Nippon Ichi Software,Role-Playing,0.02
15313.0,Capcom,Role-Playing,0.02
15308.0,Alternative Software,Action,0.02
15297.0,Arc System Works,Action,0.02
15272.0,505 Games,Shooter,1.85
15269.0,Idea Factory,Adventure,0.02
15267.0,Minato Station,Action,0.02
15256.0,Warner Bros. Interactive Entertainment,Misc,0.02
15255.0,Compile Heart,Adventure,0.02
15241.0,Namco Bandai Games,Action,0.02
15238.0,Views,Action,0.02
15230.0,FuRyu,Role-Playing,0.04
15228.0,Idea Factory,Adventure,0.05
15226.0,Idea Factory,Adventure,0.02
15219.0,Idea Factory,Action,0.02
15196.0,Kadokawa Games,Simulation,0.02
15172.0,Nippon Ichi Software,Role-Playing,0.02
15160.0,Unknown,Action,0.02
15144.0,Sony Computer Entertainment,Action,0.02
15143.0,Sega,Misc,0.02
15132.0,Idea Factory,Adventure,0.02
15127.0,FuRyu,Action,0.02
15107.0,Disney Interactive Studios,Action,0.04
15103.0,Tecmo Koei,Misc,0.02
15084.0,Deep Silver,Misc,0.02
15081.0,FuRyu,Adventure,0.02
15074.0,Avanquest Software,Action,0.02
15059.0,N/A,Platform,0.02
15054.0,Licensed 4U,Action,0.02
15050.0,Kadokawa Shoten,Strategy,0.04
15043.0,Tecmo Koei,Action,0.04
15033.0,Idea Factory,Adventure,0.02
15004.0,Namco Bandai Games,Action,0.02
14996.0,Kalypso Media,Strategy,0.02
14988.0,Idea Factory,Action,0.02
14981.0,Sega,Fighting,0.04
14980.0,Namco Bandai Games,Adventure,0.02
14975.0,Namco Bandai Games,Action,0.02
14974.0,Compile Heart,Role-Playing,0.02
14955.0,5pb,Action,0.02
14951.0,Idea Factory,Action,0.02
14940.0,Namco Bandai Games,Action,0.02
14927.0,5pb,Adventure,0.02
14914.0,Idea Factory,Adventure,0.02
14892.0,Paon Corporation,Misc,0.03
14885.0,Namco Bandai Games,Misc,0.03
14884.0,Idea Factory,Adventure,0.03
14880.0,Kadokawa Games,Adventure,0.03
14879.0,City Interactive,Simulation,0.03
14864.0,Capcom,Action,0.03
14862.0,Idea Factory,Role-Playing,0.03
14860.0,Prototype,Action,0.12
14849.0,Nippon Ichi Software,Adventure,0.03
